symbol,strategy,trigger,regime,entry_date,entry_price,stop_loss,take_profit,trailing_stop,peak_price,rsi_at_entry,volume_ratio,confluence,macd_hist,sma50_dist,spy_rsi,holding_days,exit_date,exit_price,exit_reason,pnl_pct,peak_after_exit,missed_upside_pct,win
MARA,momentum_breakout,breakout,uptrend,2025-05-09,15.760000228881836,14.1,15.76,14.73,16.3700008392334,56.745831275343015,2.1475222448397346,3,0.16521419602399456,16.246193925796632,0,14,2025-05-23,14.73,trailing_stop,-6.54,17.799999237060547,20.84,0
MARA,momentum_breakout,breakout,uptrend,2025-07-02,17.799999237060547,16.48,17.8,17.97,19.96999931335449,60.42168252239283,1.6985461151436765,3,0.1819597217288147,15.348311128436787,0,21,2025-07-23,17.97,trailing_stop,0.96,17.56999969482422,-2.23,1
MARA,momentum_breakout,breakout,uptrend,2026-04-30,11.989999771118164,9.62,11.99,13.37,14.850000381469728,61.733122495302574,1.8078884747551591,3,0.0066113063396135985,21.64803841358859,0,36,2026-06-05,13.37,trailing_stop,11.51,14.850000381469728,11.07,1
MARA,momentum_breakout,breakout,uptrend,2026-06-22,14.850000381469728,13.61,14.85,13.61,14.850000381469728,62.290411362771984,1.6804686083957543,3,0.0029359229183006375,14.249160349189935,0,9,2026-07-01,13.61,stop_loss,-8.35,13.369999885559082,-1.76,0
RBLX,momentum_breakout,breakout,uptrend,2024-02-07,44.7400016784668,42.35,44.74,42.35,44.869998931884766,62.9500828671054,5.11808031334897,3,0.3142264922900544,6.841755807714374,0,6,2024-02-13,42.35,stop_loss,-5.34,44.43999862670898,4.94,0
RBLX,momentum_breakout,breakout,uptrend,2024-08-20,40.540000915527344,37.11,40.54,42.88,47.63999938964844,57.74115951741117,1.7026442471363525,3,0.2206945253608766,5.254072193943955,0,44,2024-10-03,42.88,trailing_stop,5.77,54.560001373291016,27.24,1
RBLX,momentum_breakout,breakout,uptrend,2024-10-31,51.720001220703125,49.97,51.72,49.97,54.560001373291016,71.70662934993388,4.135386177235723,3,0.8832653717273504,15.865431467917896,0,21,2024-11-21,49.97,stop_loss,-3.38,61.93000030517578,23.93,0
RBLX,momentum_breakout,breakout,uptrend,2024-12-05,58.93999862670898,55.16,58.94,55.31,61.45000076293945,71.06108227220227,2.2133176007037543,3,0.3966223024394173,20.352899373862794,0,11,2024-12-16,61.45,bearish_divergence,4.26,71.37999725341797,16.16,1
RBLX,momentum_breakout,breakout,uptrend,2025-01-16,65.26000213623047,62.16,65.26,67.92,75.47000122070312,70.84250746329266,1.7173884730663231,3,0.1498758119070276,13.538157668458977,0,21,2025-02-06,67.92,trailing_stop,4.08,67.12000274658203,-1.18,1
RBLX,momentum_breakout,breakout,uptrend,2025-05-01,69.0,59.22,69.0,124.01,137.7899932861328,65.61486545793029,2.831249791580438,3,1.0843602550771223,13.29855059195256,0,106,2025-08-15,124.01,trailing_stop,79.72,137.25,10.68,1
RBLX,momentum_breakout,breakout,uptrend,2025-09-19,135.17999267578125,122.96,135.18,127.4,141.55999755859375,62.96235435768313,2.063128335083306,3,0.3005564022719156,7.179016037193615,0,10,2025-09-29,141.56,bearish_divergence,4.72,141.55999755859375,0.0,1
TJX,momentum_breakout,breakout,uptrend,2024-02-28,97.92572021484376,95.42,97.93,95.42,97.92572021484376,75.91738184711788,1.5248141787234386,3,0.15809933319047742,5.910441967944721,0,2,2024-03-01,95.42,stop_loss,-2.56,98.23567962646484,2.95,0
TJX,momentum_breakout,breakout,uptrend,2024-05-22,98.31737518310548,94.46,98.32,112.04,124.48656463623048,66.32300870475632,2.545021317998763,3,0.2905636877825869,4.315645138323347,0,202,2024-12-10,124.49,bearish_divergence,26.62,124.48656463623048,0.0,1
TJX,momentum_breakout,breakout,uptrend,2025-04-03,123.1254425048828,116.83,123.13,119.68,132.97967529296875,60.669971110233895,2.0074511957256544,3,1.0928465193530688,3.0700008142122486,0,104,2025-07-16,119.68,trailing_stop,-2.8,136.60340881347656,14.14,0
TJX,momentum_breakout,breakout,uptrend,2025-08-20,136.60340881347656,129.58,136.6,129.58,139.3202667236328,79.55737463894752,2.454347105842698,3,0.6313886139483826,8.746560630782149,0,15,2025-09-04,139.32,bearish_divergence,1.99,143.41036987304688,2.94,1
TJX,momentum_breakout,breakout,uptrend,2025-11-17,143.84420776367188,139.61,143.84,140.26,155.84278869628906,62.080823421444684,2.2026361314599594,3,0.2574610486308577,2.1506124871034937,0,37,2025-12-24,155.84,bearish_divergence,8.34,156.79396057128906,0.61,1
MAR,momentum_breakout,breakout,uptrend,2024-10-07,250.63380432128903,232.61,250.63,259.24,288.04754638671875,69.17613010944056,1.6806446882354173,3,0.7521294065539319,9.394506736674716,0,60,2024-12-06,288.05,bearish_divergence,14.93,288.04754638671875,0.0,1
MAR,momentum_breakout,breakout,uptrend,2025-02-11,283.52880859375,264.56,283.53,264.56,285.94073486328125,53.96748567264737,1.903957777064646,3,0.9715959579198321,1.054941128047584,0,23,2025-03-06,264.56,stop_loss,-6.69,259.2496337890625,-2.01,0
MAR,momentum_breakout,breakout,uptrend,2025-06-27,270.5220947265625,262.29,270.52,262.29,279.8207397460937,61.57735807236589,2.932540444178413,3,0.6589728142870808,6.474532369003978,0,34,2025-07-31,262.29,stop_loss,-3.04,271.5587158203125,3.53,0
MAR,momentum_breakout,breakout,uptrend,2025-11-07,288.7555236816406,275.41,288.76,282.34,313.71343994140625,65.86300849835666,1.5403839741732028,3,2.446522459559265,8.433849037951095,0,49,2025-12-26,313.71,bearish_divergence,8.64,331.2689514160156,5.6,1
MAR,momentum_breakout,breakout,uptrend,2026-02-09,329.2509765625,318.59,329.25,322.03,357.8110656738281,65.25433538418936,1.5354855097714195,3,0.8076855252844313,5.508467965582399,0,31,2026-03-12,322.03,trailing_stop,-2.19,377.2073669433594,17.13,0
MAR,momentum_breakout,breakout,uptrend,2026-05-29,374.8382568359375,351.67,374.84,361.55,401.7236328125,64.72051881382738,1.6392459115901215,3,2.3103327547104158,6.164925301440231,0,66,2026-08-03,361.55,trailing_stop,-3.55,360.5772399902344,-0.27,0
RCL,momentum_breakout,breakout,uptrend,2024-04-02,133.66751098632812,123.56,133.67,123.56,134.67893981933594,64.70804637858878,2.0451180040853196,3,0.511747766699175,8.287500253994446,0,14,2024-04-16,123.56,stop_loss,-7.56,146.60153198242188,18.65,0
RCL,momentum_breakout,breakout,uptrend,2024-04-25,133.68699645996094,124.49,133.69,125.47,139.41490173339844,61.58889351102945,1.8592712078768276,3,0.35286403279353695,5.946898472157872,0,4,2024-04-29,139.41,bearish_divergence,4.28,152.0279998779297,9.05,1
RCL,momentum_breakout,breakout,uptrend,2024-05-14,136.9253692626953,126.36,136.93,150.61,167.34458923339844,60.230768563838694,1.9870041935230456,3,0.058161644066713425,4.410376795514733,0,72,2024-07-25,150.61,trailing_stop,9.99,164.3687744140625,9.14,1
RCL,momentum_breakout,breakout,uptrend,2024-09-20,169.65591430664062,160.52,169.66,226.42,251.57423400878903,62.9928331741315,1.5183793713157434,3,1.053023427823319,7.995341487259608,0,89,2024-12-18,226.42,trailing_stop,33.46,268.47369384765625,18.57,1
RCL,momentum_breakout,breakout,uptrend,2025-01-28,259.1529541015625,249.33,259.15,249.33,268.47369384765625,65.59393056192269,3.4616347250180226,3,2.338580474908637,10.341888481338264,0,2,2025-01-30,268.47,bearish_divergence,3.6,268.47369384765625,0.0,1
RCL,momentum_breakout,breakout,uptrend,2025-05-30,251.93995666503903,229.9,251.94,312.22,346.9086608886719,64.16844545818049,1.8917061270175037,3,0.13601006166973306,14.450015283623404,0,63,2025-08-01,312.22,trailing_stop,23.93,359.6901550292969,15.2,1
RCL,momentum_breakout,breakout,uptrend,2026-01-29,342.37139892578125,320.53,342.37,320.53,344.4000244140625,68.46413763315097,3.055923111663986,3,3.4972085778498903,19.47107567226731,0,15,2026-02-13,320.53,stop_loss,-6.38,320.3534851074219,-0.06,0
RCL,momentum_breakout,breakout,uptrend,2026-06-23,309.5299987792969,276.53,309.53,290.38,322.6499938964844,55.91246273176197,1.536509061904551,3,2.4704429845054303,11.13786791438435,0,2,2026-06-25,322.65,bearish_divergence,4.24,327.4200134277344,1.48,1
RCL,momentum_breakout,breakout,uptrend,2026-06-26,318.1300048828125,285.5,318.13,289.3,321.44000244140625,62.20414618419774,2.5375890729051753,3,2.291852474241189,12.78664238920603,0,10,2026-07-06,289.3,trailing_stop,-9.06,327.4200134277344,13.18,0
RCL,momentum_breakout,breakout,uptrend,2026-07-27,305.0400085449219,280.03,305.04,294.68,327.4200134277344,54.790384132167,1.7172158381653664,3,0.4190534772227176,5.551557788059899,0,24,2026-08-20,294.68,trailing_stop,-3.4,293.0,-0.57,0
BMY,momentum_breakout,breakout,uptrend,2024-03-06,47.36602783203125,45.58,47.37,45.58,48.27111053466797,65.47664970975946,1.5926366170669373,3,0.24803452567078882,5.718965233974837,0,35,2024-04-10,45.58,stop_loss,-3.77,45.14324569702149,-0.96,0
BMY,mean_reversion,oversold,range,2024-04-25,40.12532806396485,36.93,40.13,36.93,40.448490142822266,29.684140344687737,3.5049435420935016,2,-0.30447350767204906,-13.212849145334143,0,33,2024-05-28,36.93,stop_loss,-7.96,38.61726760864258,4.57,0
BMY,momentum_breakout,breakout,uptrend,2024-07-26,45.975467681884766,43.0,45.98,43.0,45.975467681884766,75.59317962933649,2.1398722667439993,3,0.7785866206617695,17.662071126806552,0,12,2024-08-07,43.0,stop_loss,-6.47,46.03925704956055,7.07,0
BMY,momentum_breakout,breakout,uptrend,2024-09-24,46.42201232910156,45.15,46.42,50.81,56.45982360839844,62.86610201232484,1.6079314408162328,3,0.003880800743589763,5.976845577690399,0,143,2025-02-14,50.81,trailing_stop,9.45,58.79834365844727,15.72,1
BMY,momentum_breakout,breakout,uptrend,2025-02-28,55.54677963256836,52.16,55.55,52.92,58.79834365844727,57.63910662067315,1.6003340014681817,3,0.3398184176102592,4.308690150677256,0,10,2025-03-10,58.8,bearish_divergence,5.85,58.79834365844727,0.0,1
BMY,momentum_breakout,breakout,uptrend,2025-12-03,49.29434585571289,46.8,49.29,54.94,61.04438018798828,65.32327363300233,1.8937731265366775,3,0.22098038890924965,10.35472875900474,0,86,2026-02-27,61.04,bearish_divergence,23.84,61.04438018798828,0.0,1
GILD,momentum_breakout,breakout,uptrend,2024-07-25,72.23773956298828,68.0,72.24,83.97,93.29718780517578,69.22455236374658,1.8355363555372004,3,0.37744112893385795,11.908308685414399,0,117,2024-11-19,83.97,trailing_stop,16.24,90.72750854492188,8.05,1
GILD,momentum_breakout,breakout,uptrend,2024-12-05,88.99922180175781,83.5,89.0,83.5,90.72750854492188,59.411161173447866,1.5904353267413902,3,0.009660764404197608,4.876314088974613,0,21,2024-12-26,90.73,bearish_divergence,1.94,95.76312255859376,5.55,1
GILD,momentum_breakout,breakout,uptrend,2025-01-21,89.33406066894531,86.58,89.33,101.55,112.8303680419922,56.94121934329991,1.546907029362044,3,0.05238146080264415,1.4864707169426026,0,77,2025-04-08,101.55,trailing_stop,13.67,105.5900421142578,3.98,1
GILD,momentum_breakout,breakout,uptrend,2025-08-08,116.37826538085938,111.73,116.38,111.73,117.4113540649414,61.74219182192148,2.129959472418752,3,0.1365888288086443,7.2081392522269025,0,17,2025-08-25,111.73,stop_loss,-3.99,114.86762237548828,2.81,0
GILD,momentum_breakout,breakout,uptrend,2025-10-17,120.52313232421876,114.89,120.52,114.89,125.68519592285156,67.23597449205123,2.001764787994894,3,0.7575254070873206,6.401739598541722,0,33,2025-11-19,125.69,bearish_divergence,4.28,125.68519592285156,0.0,1
GILD,momentum_breakout,breakout,uptrend,2026-01-16,123.3936767578125,119.64,123.39,138.52,153.90869140625,54.62835946332298,1.6608320786041948,3,0.12306633950550663,1.7733591385786742,0,63,2026-03-20,138.52,trailing_stop,12.26,141.16226196289062,1.91,1
