symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
AMZN,momentum_breakout,breakout,2,2026-04-29,2026-04-30,273.443183,2026-05-20,259.789938,stop_loss,0.56530144,0.56530144,False,,0.0,0.0,0.0,145.859626,2.0,1.0,155.577825,145.859626,20,263.742854,322.662956,0.0177373774,70.33,1.56,False,-9.718199,-6.24652,0
COIN,momentum_breakout,breakout,2,2026-05-14,2026-05-15,205.845639,2026-05-26,185.883937,stop_loss,0.3922817,0.3922817,False,,0.0,0.0,0.0,71.918867,2.0,1.0,81.749477,71.918867,11,188.142201,242.897854,0.0430017329,55.91,1.594,False,-9.83061,-12.025288,0
WMT,momentum_breakout,breakout,2,2026-05-20,2026-05-21,124.23699,2026-05-26,120.281357,stop_loss,1.2791721,1.2791721,False,,0.0,0.0,0.0,152.860556,2.0,1.0,159.920491,152.860556,5,120.664946,146.599648,0.0143759274,57.93,1.712,False,-7.059934,-4.414653,0
DDOG,momentum_breakout,breakout,2,2026-05-08,2026-05-11,196.456255,2026-06-02,263.98575,emotional_extreme,0.79668197,0.39834098,True,2026-06-01,251.523219,0.39834098,99.192006,104.156343,3.0,1.0,157.513155,203.34835,22,168.03806,231.81838,0.0723270292,79.99,1.861,False,45.835194,29.09928,1
SNOW,momentum_breakout,breakout,2,2026-05-28,2026-05-29,240.930692,2026-06-04,244.055703,trailing_stop,0.68878202,0.68878202,False,,0.0,0.0,0.0,167.10118,2.0,1.0,166.948729,167.10118,6,200.002341,284.298217,0.0849380199,77.2,4.01,False,0.152451,0.091316,1
AMD,momentum_breakout,breakout,2,2026-04-16,2026-04-17,281.281,2026-06-08,484.515,trailing_stop,0.53885808,0.26942904,True,2026-04-27,345.973687,0.26942904,92.215358,129.542411,3.0,1.0,152.570539,221.75777,52,261.959981,331.91158,0.0343446925,73.64,1.82,False,69.18723,45.3477,1
FSLR,momentum_breakout,breakout,2,2026-05-28,2026-05-29,302.952644,2026-06-08,286.403312,trailing_stop,0.23549584,0.23549584,False,,0.0,0.0,0.0,66.446789,2.0,1.0,72.344088,66.446789,10,279.997361,357.48412,0.0378859268,81.08,1.864,False,-5.897299,-8.151736,0
IBM,momentum_breakout,breakout,2,2026-06-02,2026-06-03,316.348961,2026-06-08,284.115452,stop_loss,0.53407962,0.53407962,False,,0.0,0.0,0.0,150.740272,2.0,1.0,169.955532,150.740272,5,289.037233,373.291774,0.0431670898,77.39,1.517,False,-19.21526,-11.306052,0
PANW,momentum_breakout,breakout,2,2026-05-08,2026-05-11,207.997783,2026-06-09,265.034688,trailing_stop,0.34354025,0.17177013,True,2026-05-19,246.713047,0.17177013,41.377931,44.525042,3.0,1.0,72.455611,85.902974,29,197.143262,245.437384,0.0260928761,69.0,1.735,False,13.447362,18.559449,1
CRWD,momentum_breakout,breakout,2,2026-06-04,2026-06-05,174.359183,2026-06-10,159.59775,stop_loss,0.91257951,0.91257951,False,,0.0,0.0,0.0,144.645637,2.0,1.0,160.116618,144.645637,5,161.579017,205.743835,0.0366489594,68.67,1.911,False,-15.470981,-9.662321,0
