symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission,mfe_pct,mae_pct,peak_price,peak_date,trough_price,trough_date,mfe_before_first_tier_pct,mfe_after_first_tier_pct,price_giveback_pct,economic_giveback_pct,trail_activated,trail_activation_date,highest_trailing_stop,tiers_hit,time_stop_bound,exit_policy_version
SHOP,momentum_breakout,breakout,3,2023-05-05,2023-05-08,61.661598,2023-06-01,56.363578,trailing_stop,2.41641481,2.41641481,False,,0.0,0.0,0.0,135.197785,2.0,1.0,150.0,135.197785,24,54.459524,72.760686,0.0584,False,74.8,2.42,False,-14.802215,-9.868143,-12.802215,0,0,3.6139,-7.2518,63.889999,2023-05-09,57.189999,2023-05-31,3.6139,,12.206,13.4821,True,2023-05-09,57.500999,0,False,exit_policy_v1
MSFT,momentum_breakout,breakout,3,2023-04-27,2023-04-28,296.074117,2023-08-10,317.567848,trailing_stop,0.50325237,0.25162618,True,2023-07-19,352.371637,0.25162618,87.66593,78.908386,3.0,1.0,150.0,166.574316,104,283.10607,349.367458,0.0219,False,66.6,1.62,False,16.574316,11.049544,19.574316,1,1,18.3895,0.0,350.520721,2023-07-18,296.074117,,18.3895,19.0147,5.2524,7.34,True,2023-05-25,315.468649,1,False,exit_policy_v1
ORCL,momentum_breakout,breakout,3,2023-05-31,2023-06-01,100.98875,2023-08-10,109.723374,trailing_stop,1.47541186,0.73770593,True,2023-06-16,122.178269,0.73770593,89.131634,79.943584,3.0,1.0,150.0,169.075218,70,97.373353,119.166725,0.0179,False,71.1,1.67,False,19.075218,12.716812,22.075218,1,1,20.5412,0.0,121.733017,2023-06-15,100.98875,,20.5412,20.9821,5.7256,7.8244,True,2023-06-12,109.559715,1,False,exit_policy_v1
ADBE,momentum_breakout,breakout,3,2023-06-12,2023-06-14,476.626144,2023-09-27,507.0025,trailing_stop,0.31261399,0.15630699,True,2023-09-05,557.322125,0.15630699,86.113346,78.248037,3.0,1.0,150.0,164.361383,105,451.269633,562.41885,0.0266,False,76.2,1.54,False,14.361383,9.574255,17.361383,1,1,18.5164,0.0,564.880005,2023-09-05,476.626144,,18.166,18.5164,6.8644,8.9421,True,2023-07-11,508.392004,1,False,exit_policy_v1
LLY,momentum_breakout,breakout,3,2023-05-03,2023-05-04,421.074583,2023-10-02,524.55492,trailing_stop,0.35385655,0.17692828,True,2023-08-09,508.159968,0.17692828,88.907867,91.808598,3.0,1.0,150.0,180.716465,151,404.315815,496.868008,0.0199,False,81.7,3.0,False,30.716465,20.477643,33.716465,1,1,39.4241,-1.7529,587.079407,2023-09-12,413.693359,2023-05-23,21.088,39.4241,16.7956,18.9464,True,2023-06-27,528.371466,1,False,exit_policy_v1
BRK-B,momentum_breakout,breakout,3,2023-08-10,2023-08-11,356.61627,2023-10-03,347.042625,stop_loss,0.41781605,0.41781605,False,,0.0,0.0,0.0,143.999977,2.0,1.0,150.0,143.999977,53,348.842035,420.807198,0.0109,False,77.3,1.83,True,-6.000023,-4.000015,-4.000023,0,0,3.8876,-2.3937,370.480011,2023-09-19,348.079987,2023-10-02,3.8876,,6.5722,7.8876,False,,348.842035,0,False,exit_policy_v1
VRTX,momentum_breakout,breakout,3,2023-10-16,2023-10-17,373.62325,2023-10-20,365.354281,stop_loss,0.39879745,0.39879745,False,,0.0,0.0,0.0,144.702356,2.0,1.0,150.0,144.702356,3,364.955191,440.875435,0.0116,False,69.6,1.8,False,-5.297644,-3.531762,-3.297644,0,0,0.0,-2.3615,373.62325,,364.799988,2023-10-19,0.0,,2.2132,3.5318,False,,364.955191,0,False,exit_policy_v1
SNPS,momentum_breakout,breakout,3,2023-10-10,2023-10-11,490.770279,2023-10-23,465.534,stop_loss,0.30360437,0.30360437,False,,0.0,0.0,0.0,140.338156,2.0,1.0,150.0,140.338156,12,472.709933,579.108929,0.0184,False,66.6,1.53,False,-9.661844,-6.44123,-7.661844,0,0,1.1125,-4.7131,496.230011,2023-10-12,467.640015,2023-10-20,1.1125,,6.2547,7.5537,False,,472.709933,0,False,exit_policy_v1
LLY,momentum_breakout,breakout,3,2023-10-11,2023-10-12,593.707055,2023-10-24,567.604847,stop_loss,0.25096552,0.25096552,False,,0.0,0.0,0.0,141.449246,2.0,1.0,150.0,141.449246,12,569.602548,700.574325,0.0203,False,69.5,1.87,False,-8.550754,-5.700503,-6.550754,0,0,1.7448,-4.8535,604.065857,2023-10-16,564.891357,2023-10-23,1.7448,,6.1412,7.4453,False,,569.602548,0,False,exit_policy_v1
TJX,momentum_breakout,breakout,3,2023-08-16,2023-08-17,85.740764,2023-10-30,84.003355,stop_loss,1.73779649,1.73779649,False,,0.0,0.0,0.0,144.980736,2.0,1.0,150.0,144.980736,74,83.871616,101.174102,0.0109,False,70.7,3.32,False,-5.019264,-3.346176,-3.019264,0,0,4.9815,-2.1975,90.011932,2023-09-14,83.856613,2023-10-27,4.9815,,7.0078,8.3277,False,,83.871616,0,False,exit_policy_v1
