symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission
CMC,momentum_breakout,breakout,3,2023-09-01,2023-09-05,55.143494,2023-09-07,52.469839,stop_loss,2.70204133,2.70204133,False,,0.0,0.0,0.0,140.775673,2.0,1.0,150.0,140.775673,2,53.665649,65.069323,0.0134,False,64.6,2.35,False,-9.224327,-6.149551,-7.224327,0,0
IOT,momentum_breakout,breakout,3,2023-09-05,2023-09-06,31.78175,2023-09-14,29.56041,stop_loss,4.68822516,4.68822516,False,,0.0,0.0,0.0,137.585859,2.0,1.0,150.0,137.585859,8,29.4299,37.502465,0.037,False,71.6,2.25,False,-12.414141,-8.276094,-10.414141,0,0
VEEV,momentum_breakout,breakout,3,2023-09-05,2023-09-07,221.551332,2023-09-15,210.079703,stop_loss,0.67253037,0.67253037,False,,0.0,0.0,0.0,140.284981,2.0,1.0,150.0,140.284981,8,211.670142,261.430572,0.0223,False,71.9,2.07,False,-9.715019,-6.476679,-7.715019,0,0
ATI,momentum_breakout,breakout,3,2023-06-29,2023-06-30,43.81377,2023-09-21,42.287672,trailing_stop,3.40075731,3.40075731,False,,0.0,0.0,0.0,142.810109,2.0,1.0,150.0,142.810109,83,41.482878,51.700249,0.0266,False,65.0,1.64,False,-7.189891,-4.793261,-5.189891,0,0
WDAY,mean_reversion,oversold+volume+sma_support,3,2023-09-28,2023-09-29,215.164947,2023-10-06,202.327469,stop_loss,0.69249198,0.69249198,False,,0.0,0.0,0.0,139.110149,2.0,1.0,150.0,139.110149,7,205.611623,236.681442,0.0222,False,28.0,5.17,False,-10.889851,-7.2599,-8.889851,0,0
DUOL,momentum_breakout,breakout,3,2023-10-09,2023-10-10,175.175,2023-10-16,161.478359,stop_loss,0.85057799,0.85057799,False,,0.0,0.0,0.0,136.349939,2.0,1.0,150.0,136.349939,6,165.50534,206.7065,0.0276,False,62.7,1.61,False,-13.650061,-9.100041,-11.650061,0,0
CNX,momentum_breakout,breakout,3,2023-10-17,2023-10-18,23.67365,2023-10-23,22.64733,stop_loss,6.2939176,6.2939176,False,,0.0,0.0,0.0,141.540429,2.0,1.0,150.0,141.540429,5,22.830868,27.934907,0.0178,False,63.5,1.64,False,-8.459571,-5.639714,-6.459571,0,0
FANG,momentum_breakout,breakout,3,2023-10-12,2023-10-13,148.647677,2023-10-31,142.264463,stop_loss,1.00237019,1.00237019,False,,0.0,0.0,0.0,141.601656,2.0,1.0,150.0,141.601656,18,142.70177,175.404259,0.02,False,62.9,1.51,False,-8.398344,-5.598896,-6.398344,0,0
HBM,mean_reversion,bullish_div+sma_support,2,2023-11-02,2023-11-03,4.726462,2023-11-08,4.348812,stop_loss,31.52463574,31.52463574,False,,0.0,0.0,0.0,136.094719,2.0,1.0,150.0,136.094719,5,4.448546,5.199108,0.0294,False,48.6,1.19,False,-13.905281,-9.270187,-11.905281,0,0
DKNG,momentum_breakout,breakout,3,2023-11-06,2023-11-07,35.075041,2023-12-21,34.615352,trailing_stop,4.24803496,4.24803496,False,,0.0,0.0,0.0,146.047223,2.0,1.0,150.0,146.047223,44,31.441267,41.388548,0.0518,False,66.0,1.84,False,-3.952777,-2.635184,-1.952777,0,0
PLAY,momentum_breakout,breakout,3,2023-12-18,2023-12-21,50.590541,2024-01-16,48.591359,trailing_stop,2.94521461,2.94521461,False,,0.0,0.0,0.0,142.111981,2.0,1.0,150.0,142.111981,26,47.878888,59.696838,0.0268,False,81.5,2.0,True,-7.888019,-5.258679,-5.888019,0,0
DASH,momentum_breakout,breakout,3,2023-11-03,2023-11-06,92.582488,2024-01-19,105.21468,bearish_divergence,1.60937563,1.60937563,False,,0.0,0.0,0.0,168.329942,2.0,1.0,150.0,168.329942,74,84.009349,109.247336,0.0463,False,66.5,2.01,False,18.329942,12.219961,20.329942,1,1
WING,momentum_breakout,breakout,3,2024-01-17,2024-01-19,273.232599,2024-02-01,277.899366,bearish_divergence,0.54532292,0.54532292,False,,0.0,0.0,0.0,150.544895,2.0,1.0,150.0,150.544895,13,264.598449,322.414467,0.0158,False,74.6,1.62,False,0.544895,0.363263,2.544895,1,1
SMCI,momentum_breakout,breakout,3,2024-01-29,2024-02-01,54.054,2024-02-13,74.925,emotional_extreme,2.75650276,1.37825138,True,2024-02-06,67.232703,1.37825138,91.663566,102.265485,3.0,1.0,150.0,193.92905,12,44.875631,63.78372,0.0849,False,78.7,1.73,False,43.92905,29.286033,46.92905,1,1
CPRI,mean_reversion,oversold+sma_support,2,2024-02-05,2024-02-06,47.047,2024-02-27,46.083871,stop_loss,3.16704572,3.16704572,False,,0.0,0.0,0.0,144.949727,2.0,1.0,150.0,144.949727,21,46.209563,51.7517,0.0089,False,29.5,1.0,False,-5.050273,-3.366849,-3.050273,0,0
ARM,momentum_breakout,breakout,3,2024-02-12,2024-02-13,128.248115,2024-03-11,126.473398,trailing_stop,1.16181045,1.16181045,False,,0.0,0.0,0.0,145.938116,2.0,1.0,150.0,145.938116,27,96.442583,151.332776,0.124,False,88.6,5.65,False,-4.061884,-2.707923,-2.061884,0,0
BIRK,momentum_breakout,breakout,3,2024-01-17,2024-01-18,43.993951,2024-03-15,46.033922,trailing_stop,3.38682927,1.69341463,True,2024-02-22,53.206738,1.69341463,89.101069,76.954517,3.0,1.0,150.0,166.055586,57,41.943833,51.912862,0.0233,False,53.5,2.73,False,16.055586,10.703724,19.055586,1,1
URBN,momentum_breakout,breakout,3,2024-02-27,2024-02-28,41.931889,2024-04-08,39.790172,stop_loss,3.5533815,3.5533815,False,,0.0,0.0,0.0,140.38966,2.0,1.0,150.0,140.38966,40,40.489432,49.479629,0.0172,False,76.2,2.48,False,-9.61034,-6.406893,-7.61034,0,0
FUN,mean_reversion,bullish_div+volume+sma_support,3,2023-11-06,2023-11-08,37.888947,2024-04-18,38.570198,trailing_stop,3.93254528,1.96627264,True,2024-02-13,41.3239,1.96627264,80.254055,74.839525,3.0,1.0,150.0,155.09358,162,36.358234,41.677842,0.0202,False,59.2,1.93,False,5.09358,3.39572,8.09358,1,1
DPZ,momentum_breakout,breakout,3,2024-04-05,2024-04-08,472.466042,2024-04-22,456.881214,stop_loss,0.31536658,0.31536658,False,,0.0,0.0,0.0,143.085066,2.0,1.0,150.0,143.085066,14,456.21321,557.50993,0.0172,False,78.2,1.88,True,-6.914934,-4.609956,-4.914934,0,0
STLD,momentum_breakout,breakout,3,2024-03-15,2024-03-18,133.92189,2024-04-24,136.597943,trailing_stop,1.11258884,1.11258884,False,,0.0,0.0,0.0,150.977347,2.0,1.0,150.0,150.977347,37,129.261409,158.027831,0.0174,False,64.2,3.2,False,0.977347,0.651564,2.977347,1,1
WING,momentum_breakout,breakout,3,2024-02-20,2024-02-22,314.533933,2024-04-25,355.730272,bearish_divergence,0.47371677,0.47371677,False,,0.0,0.0,0.0,167.515397,2.0,1.0,150.0,167.515397,63,305.726983,371.150041,0.014,False,84.7,2.34,False,17.515397,11.676931,19.515397,1,1
AR,momentum_breakout,breakout,3,2024-04-24,2024-04-25,32.032,2024-06-11,35.014949,bearish_divergence,4.6515984,4.6515984,False,,0.0,0.0,0.0,161.875482,2.0,1.0,150.0,161.875482,47,30.866035,37.79776,0.0182,False,70.0,1.65,False,11.875482,7.916988,13.875482,1,1
