symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
HOOD,momentum_breakout,breakout,3,2022-09-13,10.53,2022-09-15,11.24,bearish_divergence,11.7814,False,2,7.35,5.92,61.519270167726305,1.5148026506178778,1
LULU,momentum_breakout,breakout,3,2022-09-08,334.97,2022-09-22,317.15,trailing_stop,0.5564,False,14,-10.92,-5.86,58.65637851040395,1.5250236071765817,0
UBER,momentum_breakout,breakout,2,2022-09-16,30.99,2022-09-22,28.71,trailing_stop,4.1885,False,6,-10.56,-8.13,65.0661172232129,1.7811265474002653,0
MPC,momentum_breakout,breakout,3,2022-08-31,91.8,2022-09-26,83.36,trailing_stop,2.0458,False,26,-18.27,-9.73,62.1096855675793,1.5034194733472546,0
NFLX,momentum_breakout,breakout,3,2022-09-30,23.72,2022-10-11,22.05,stop_loss,7.4799,False,11,-13.51,-7.61,56.803647369494755,1.710696661129426,0
REGN,momentum_breakout,breakout,3,2022-09-09,705.78,2022-10-13,744.78,bearish_divergence,0.267,False,34,9.41,5.0,69.42600268027589,5.698251507978926,1
BIIB,momentum_breakout,breakout,3,2022-09-30,265.78,2022-10-28,284.01,bearish_divergence,0.4354,False,28,6.94,5.99,71.9145225588059,3.062144095073038,1
NFLX,momentum_breakout,breakout,3,2022-10-18,25.0,2022-11-04,26.85,trailing_stop,7.167,True,17,21.68,12.1,55.62660276742089,1.649423326896046,1
SLB,momentum_breakout,breakout,3,2022-10-24,45.57,2022-11-11,49.81,bearish_divergence,3.8051,False,18,15.13,8.72,74.28441907150541,2.330728097874836,1
WMT,mean_reversion,oversold,2,2022-05-19,38.32,2022-11-21,48.04,mean_reversion_complete,0.7961,True,186,4.38,14.36,21.313181301131785,3.3059840394537625,1
SBUX,momentum_breakout,breakout,3,2022-11-07,83.32,2023-01-13,97.83,bearish_divergence,1.5441,False,67,21.41,16.64,59.19174393507545,2.4191584343147867,1
ABBV,momentum_breakout,breakout,3,2022-10-31,127.19,2023-01-24,131.06,trailing_stop,1.4666,False,85,4.68,2.51,54.74042133304314,2.0411757876325387,1
JPM,momentum_breakout,breakout,3,2023-01-17,130.36,2023-02-07,132.39,bearish_divergence,1.2499,False,21,1.53,0.94,66.23278823779752,2.0070943831165606,1
UNP,mean_reversion,oversold,2,2022-09-28,181.11,2023-02-21,178.87,trailing_stop,0.9899,False,146,-3.21,-1.79,29.35951146230072,1.7180025521268771,0
MSFT,momentum_breakout,breakout,3,2023-02-08,265.4,2023-02-21,246.28,stop_loss,0.631,False,13,-13.06,-7.8,62.965921751863675,1.5574674817923924,0
DHR,momentum_breakout,breakout,3,2023-01-25,230.87,2023-02-22,217.53,stop_loss,0.8283,False,28,-12.05,-6.3,52.885345951350274,2.095561460400197,0
CRM,momentum_breakout,breakout,2,2023-03-03,185.06,2023-03-09,177.06,stop_loss,0.7653,False,6,-7.12,-5.03,71.32320386533901,4.097875244215436,0
BRK-B,momentum_breakout,breakout,3,2022-11-14,310.31,2023-03-17,293.97,stop_loss,0.5807,False,123,-10.49,-5.82,66.27390485748434,1.602792726421124,0
PANW,momentum_breakout,breakout,3,2023-02-23,93.89,2023-03-21,97.15,bearish_divergence,1.9642,False,26,5.4,2.93,69.27545125790692,4.119071257442441,1
FSLR,momentum_breakout,breakout,3,2023-03-02,195.93,2023-03-31,217.28,bearish_divergence,0.9451,False,29,19.18,10.36,64.28460032267913,6.49207399031384,1
NOW,momentum_breakout,breakout,3,2023-04-03,92.4,2023-04-13,96.6,bearish_divergence,2.0571,False,10,7.65,4.02,56.983131337237516,1.7514096067375633,1
AMD,momentum_breakout,breakout,3,2023-03-23,100.15,2023-04-17,90.16,trailing_stop,1.8434,False,25,-19.41,-10.51,69.68186700379609,1.5469216459840534,0
AAPL,momentum_breakout,breakout,3,2023-03-20,152.74,2023-04-19,164.78,bearish_divergence,1.0918,False,30,12.14,7.28,61.40600999969214,1.5573749268784765,1
MARA,momentum_breakout,breakout,3,2023-04-14,12.28,2023-04-20,10.59,stop_loss,1.7414,False,6,-3.94,-18.44,68.98688714854734,1.546012734787228,0
ANET,momentum_breakout,breakout,3,2023-03-10,37.14,2023-05-02,38.07,trailing_stop,3.7376,False,53,2.49,1.8,68.17532697509664,1.6833699001452542,1
SBUX,momentum_breakout,breakout,3,2023-05-03,100.22,2023-05-23,94.3,stop_loss,1.5706,False,20,-10.3,-6.55,71.32031917193792,1.7679566128490174,0
ISRG,momentum_breakout,breakout,3,2023-04-20,299.26,2023-06-05,317.17,bearish_divergence,0.5985,False,46,9.72,5.43,80.9621624848402,3.424267281514654,1
NVDA,momentum_breakout,breakout,3,2023-05-31,39.45,2023-06-20,43.68,bearish_divergence,2.0444,False,20,7.65,9.48,84.8384821701191,1.8240181888036535,1
PLTR,momentum_breakout,breakout,3,2023-05-24,12.06,2023-06-21,14.93,trailing_stop,12.6249,True,28,30.72,20.18,76.53962915518468,1.924205094229266,1
NVO,momentum_breakout,breakout,3,2023-04-14,77.05,2023-07-11,70.82,trailing_stop,2.4485,False,88,-16.26,-8.62,76.16317341443906,2.487905133873394,0
MARA,momentum_breakout,breakout,3,2023-06-21,12.26,2023-07-17,17.35,trailing_stop,6.8566,True,26,24.0,28.55,59.40047190309133,2.400291409930072,1
AAPL,momentum_breakout,breakout,3,2023-06-06,177.51,2023-07-19,192.04,bearish_divergence,1.0439,False,43,14.17,7.65,71.34284696071458,2.0890430700409692,1
COIN,momentum_breakout,breakout,3,2023-07-12,89.09,2023-07-24,99.04,trailing_stop,2.1933,True,12,27.38,14.01,73.85464958818699,2.047849812521115,1
MSFT,momentum_breakout,breakout,3,2023-07-20,345.09,2023-07-26,331.93,stop_loss,0.5686,False,6,-8.48,-4.32,68.58223789753734,1.513395601607975,0
TMO,momentum_breakout,breakout,3,2023-07-25,550.72,2023-08-16,527.04,stop_loss,0.1948,False,22,-5.61,-5.23,67.09136740403464,2.1910963364063196,0
JPM,momentum_breakout,breakout,3,2023-07-18,143.73,2023-09-05,136.54,stop_loss,1.2629,False,49,-10.08,-5.55,70.18480925856298,1.5089576440456471,0
TJX,momentum_breakout,breakout,3,2023-08-17,85.74,2023-09-14,89.92,bearish_divergence,1.2283,False,28,4.14,3.93,70.69749681319432,3.3164135301182407,1
GOOGL,momentum_breakout,breakout,3,2023-07-27,130.56,2023-09-18,136.77,bearish_divergence,1.4388,False,53,7.94,4.22,64.09302449852026,1.8156276418131168,1
ABNB,momentum_breakout,breakout,3,2023-09-06,140.92,2023-09-21,132.62,trailing_stop,1.2366,False,15,-11.27,-6.47,60.83677902606365,4.2784113252064495,0
JNJ,momentum_breakout,breakout,3,2023-04-19,146.72,2023-09-29,143.02,trailing_stop,1.1435,False,163,-5.23,-3.12,56.12762027571298,1.839896259220631,0
MA,momentum_breakout,breakout,3,2023-09-15,404.98,2023-10-03,386.46,stop_loss,0.2613,False,18,-5.84,-5.52,65.0904695579559,1.6389228632434338,0
COST,momentum_breakout,breakout,3,2023-09-28,542.63,2023-10-04,548.97,bearish_divergence,0.3036,False,6,0.92,0.56,53.83601435001881,2.762849500702537,1
FDX,momentum_breakout,breakout,3,2023-06-23,175.01,2023-10-20,183.98,trailing_stop,0.5188,False,119,3.65,4.02,54.83287115873593,1.5105041514589272,1
SNPS,momentum_breakout,breakout,3,2023-10-11,490.77,2023-10-20,470.97,stop_loss,0.4024,False,9,-8.97,-4.54,66.59272344765417,1.5304379319711465,0
CDNS,momentum_breakout,breakout,3,2023-10-11,250.57,2023-10-20,239.99,stop_loss,0.1206,False,9,-2.28,-7.53,64.38418576121444,1.503470174642776,0
UNH,momentum_breakout,breakout,3,2023-09-22,471.96,2023-11-13,512.14,bearish_divergence,0.4146,False,52,15.66,8.0,57.42968267498268,1.6600056816878495,1
ANET,momentum_breakout,breakout,3,2023-11-02,53.12,2023-11-30,54.87,bearish_divergence,2.3223,False,28,3.07,2.49,62.37425279039527,2.2394000598167834,1
ORCL,momentum_breakout,breakout,3,2023-12-01,112.57,2023-12-12,105.5,stop_loss,1.1125,False,11,-8.86,-7.08,62.94314846102841,1.7389802512788466,0
MSFT,momentum_breakout,breakout,3,2023-10-26,333.08,2023-12-29,367.81,bearish_divergence,0.571,False,64,18.83,9.9,63.51459784860375,2.3229319157886654,1
CRWD,momentum_breakout,breakout,3,2023-10-09,44.17,2024-02-14,83.55,bearish_divergence,4.422,True,128,103.55,53.01,60.184719958965495,2.2974339158806747,1
MARA,momentum_breakout,breakout,3,2024-01-02,26.67,2024-02-20,26.44,trailing_stop,7.6295,False,49,-2.74,-1.34,74.13863310515784,1.8304206181429723,0
AMD,momentum_breakout,breakout,3,2023-12-13,138.11,2024-03-07,211.17,bearish_divergence,0.8228,True,85,39.22,34.51,73.41460564693573,2.010527573151979,1
COIN,momentum_breakout,breakout,3,2024-02-15,168.96,2024-03-19,230.73,trailing_stop,1.3917,True,33,63.0,26.79,60.77578581640721,1.5696192400112055,1
NVDA,momentum_breakout,breakout,3,2023-11-24,48.43,2024-03-25,94.74,bearish_divergence,2.3184,True,122,62.72,55.86,62.065063381289534,1.9968584701970948,1
NVO,momentum_breakout,breakout,2,2024-03-08,122.89,2024-03-27,118.42,stop_loss,2.0949,False,19,-10.36,-4.02,72.82851841093836,3.4566969669188947,0
LLY,momentum_breakout,breakout,3,2023-11-14,597.52,2024-04-05,770.22,bearish_divergence,0.3345,True,143,45.75,22.89,57.61969917661555,1.5716980538445018,1
ANET,momentum_breakout,breakout,3,2024-03-20,72.33,2024-04-12,68.88,trailing_stop,3.2084,False,23,-12.08,-5.21,56.971901514391405,1.977455499091129,0
HOOD,momentum_breakout,breakout,3,2024-03-28,20.03,2024-04-12,18.1,trailing_stop,12.3195,False,15,-24.79,-10.05,74.17102690972035,1.772315125352626,0
FTNT,momentum_breakout,breakout,3,2024-04-08,70.11,2024-04-12,66.47,stop_loss,1.8804,False,4,-7.84,-5.95,57.42702910642816,1.5769971151462732,0
FDX,momentum_breakout,breakout,3,2024-03-27,223.15,2024-04-15,205.12,stop_loss,0.4847,False,19,-9.74,-9.0,77.0096197123987,1.8779398207860314,0
NEM,momentum_breakout,breakout,3,2024-04-15,37.39,2024-04-25,41.67,bearish_divergence,6.4692,False,10,26.66,11.02,67.61157091440586,1.5189703592329549,1
FSLR,momentum_breakout,breakout,3,2024-04-18,178.66,2024-05-07,194.48,bearish_divergence,1.3462,False,19,20.29,8.44,59.74560753368437,1.7098607253737603,1
CMG,momentum_breakout,breakout,3,2024-04-26,62.47,2024-05-10,64.72,bearish_divergence,3.9407,False,14,7.87,3.2,71.87661281463375,2.561526870919136,1
LMT,momentum_breakout,breakout,3,2024-04-23,436.98,2024-05-29,428.3,stop_loss,0.4374,False,36,-4.8,-2.51,70.9418395636727,1.6371319397617443,0
SO,momentum_breakout,breakout,3,2024-05-08,70.85,2024-06-04,74.9,bearish_divergence,3.5494,False,27,13.38,5.32,71.38761213121492,1.5795620463808306,1
ANET,momentum_breakout,breakout,3,2024-05-13,78.1,2024-06-04,73.28,trailing_stop,3.2479,False,22,-16.64,-6.56,64.06024071198452,1.839112256137901,0
WMT,momentum_breakout,breakout,3,2024-02-21,56.79,2024-06-24,67.41,bearish_divergence,4.0396,True,124,40.94,17.85,80.33342127808473,3.4903411941796287,1
SMH,momentum_breakout,breakout,3,2024-06-06,253.86,2024-07-10,278.88,bearish_divergence,1.0114,False,34,24.31,9.47,68.47879056897521,1.5993445117832332,1
CL,momentum_breakout,breakout,3,2024-06-26,93.2,2024-07-17,94.26,bearish_divergence,2.7894,False,21,1.96,0.75,75.79006697690268,1.6170960588228582,1
AMD,momentum_breakout,breakout,3,2024-07-11,184.25,2024-07-17,171.48,stop_loss,1.4267,False,6,-19.22,-7.31,66.45102790107278,1.764496677454731,0
HOOD,momentum_breakout,breakout,3,2024-06-07,22.54,2024-07-24,22.14,trailing_stop,10.8216,False,47,-5.28,-2.16,67.03220597964336,1.5076026042259205,0
UNH,momentum_breakout,breakout,3,2024-07-18,540.13,2024-08-02,563.24,bearish_divergence,0.4781,False,15,10.05,3.89,75.14009994416962,1.8929286358868178,1
LMT,momentum_breakout,breakout,3,2024-07-25,486.07,2024-09-09,546.12,bearish_divergence,0.503,False,46,29.21,11.95,78.96662035391847,2.4349524825171525,1
WMT,momentum_breakout,breakout,3,2024-08-16,71.47,2024-09-25,79.86,bearish_divergence,1.497,False,40,11.56,10.81,70.64212847339881,2.6427768630997064,1
LIN,momentum_breakout,breakout,3,2024-08-05,441.39,2024-09-26,468.75,bearish_divergence,0.5891,False,52,15.12,5.81,59.50997015828555,1.7417694879148942,1
ORCL,momentum_breakout,breakout,3,2024-09-10,151.06,2024-10-09,174.28,bearish_divergence,1.7435,False,29,39.49,14.99,57.76785850634028,3.377462771524577,1
NOW,momentum_breakout,breakout,3,2024-09-26,178.91,2024-10-14,188.75,bearish_divergence,0.6209,False,18,5.11,4.6,61.51660920000726,1.80041140124207,1
HON,momentum_breakout,breakout,3,2024-10-10,201.08,2024-10-25,197.78,stop_loss,1.4277,False,15,-5.71,-1.99,60.07630823992301,2.0716514270320143,0
TSLA,momentum_breakout,breakout,2,2024-10-28,270.27,2024-11-14,314.69,trailing_stop,1.0365,True,17,47.07,16.8,64.55987214238836,1.9207850963756645,1
JNJ,momentum_breakout,breakout,3,2024-07-18,146.44,2024-12-05,143.05,stop_loss,1.7654,False,140,-6.99,-2.7,66.8616977855495,1.9844909074961572,0
SCHW,momentum_breakout,breakout,3,2024-11-15,78.48,2024-12-12,80.96,bearish_divergence,3.8794,False,27,8.63,2.84,79.45836750198411,1.8447186051146298,1
SOFI,momentum_breakout,breakout,3,2024-10-15,10.17,2024-12-16,16.86,bearish_divergence,11.9788,True,62,49.99,41.03,76.00476340499324,2.676389319025536,1
SNAP,momentum_breakout,breakout,3,2024-12-06,12.38,2024-12-17,11.24,trailing_stop,25.1439,False,11,-29.7,-9.54,59.18125084911662,1.7549042397309482,0
TSLA,momentum_breakout,breakout,3,2024-12-18,466.97,2025-01-02,389.48,stop_loss,0.6487,False,15,-51.27,-16.92,84.4195006438799,1.6142675253261491,0
