symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
CAT,momentum_breakout,breakout,3,2023-08-02,275.7019348144531,2023-10-04,256.0,stop_loss,0.42882398800546073,0.43,False,,63,-8.45,-7.15,275.7,80.46542657284915,1.9214791750378517,1161.92,0
COST,momentum_breakout,breakout,3,2023-09-27,541.5686645507812,2023-10-04,549.52,bearish_divergence,0.42910466555058224,0.43,False,,7,3.41,1.47,549.52,53.83606852922786,2.762849500702537,1161.92,1
SNPS,momentum_breakout,breakout,3,2023-10-10,490.1099853515625,2023-10-20,470.78,stop_loss,0.48092856549200996,0.48,False,,10,-9.3,-3.94,496.23,66.59272344765417,1.5304379319711465,1155.11,0
CDNS,momentum_breakout,breakout,3,2023-10-10,249.75,2023-10-20,239.41,stop_loss,0.6461187936849364,0.65,False,,10,-6.68,-4.14,252.98,64.38418576121444,1.503470174642776,1155.11,0
UNH,momentum_breakout,breakout,3,2023-09-21,473.51165771484375,2023-11-13,512.66,bearish_divergence,0.4915554737990719,0.49,False,,53,19.24,8.27,512.66,57.429614126349115,1.6600056816878495,1210.94,1
ANET,momentum_breakout,breakout,3,2023-11-01,52.709999084472656,2023-11-30,54.93,bearish_divergence,2.927697592472426,2.93,False,,29,6.49,4.21,54.93,62.37425279039527,2.2394000598167834,1242.08,1
ORCL,momentum_breakout,breakout,3,2023-11-30,112.5894012451172,2023-12-12,105.63,stop_loss,1.3985525128000464,1.4,False,,12,-9.73,-6.18,113.51,62.94309897797994,1.7389802512788466,1225.77,0
LLY,momentum_breakout,breakout,3,2023-11-13,600.216064453125,2023-12-15,561.64,stop_loss,0.39961542101359704,0.4,False,,32,-15.42,-6.43,600.22,57.61971828671617,1.5716980538445018,1242.14,0
MSFT,momentum_breakout,breakout,3,2023-10-25,332.8735656738281,2023-12-29,368.18,bearish_divergence,0.6934310228452445,0.69,False,,65,24.48,10.61,374.7,63.51456475020463,2.3229319157886654,1247.91,1
AAPL,momentum_breakout,breakout,3,2023-12-15,195.1903381347656,2024-01-02,189.73,stop_loss,1.1288773413741608,1.13,False,,18,-6.16,-2.8,195.19,69.50245056514046,2.455093331571033,1215.25,0
MARA,momentum_breakout,breakout,3,2023-12-29,23.489999771118164,2024-01-11,23.64,trailing_stop,10.62504553018696,10.63,False,,13,1.63,0.65,26.27,74.13863310515784,1.8304206181429723,1273.06,1
CRWD,momentum_breakout,breakout,3,2023-10-06,44.17250061035156,2024-02-14,83.64,bearish_divergence,5.294367586455093,2.65,True,52.12,131,125.51,53.67,83.64,60.184719958965495,2.2974339158806747,1401.02,1
REGN,momentum_breakout,breakout,3,2024-01-02,896.5396728515625,2024-02-27,984.06,bearish_divergence,0.25278395506984325,0.25,False,,56,22.12,9.76,984.06,68.40378234439565,1.5185859505386132,1477.16,1
AMD,momentum_breakout,breakout,3,2023-12-12,137.61000061035156,2024-03-07,211.38,bearish_divergence,1.103169251373908,0.55,True,162.38,86,54.35,35.8,211.38,73.41460564693573,2.010527573151979,1562.02,1
COIN,momentum_breakout,breakout,3,2024-02-14,160.3800048828125,2024-03-19,230.96,trailing_stop,1.7471208786607946,0.87,True,189.25,34,86.87,31.0,256.62,60.77578581640721,1.5696192400112055,1546.19,1
CVX,momentum_breakout,breakout,3,2024-02-27,137.1054229736328,2024-03-19,141.12,bearish_divergence,2.1547828087731262,2.15,False,,21,8.66,2.93,141.12,56.57752571014027,1.7944861678640767,1546.19,1
NVO,momentum_breakout,breakout,2,2024-03-07,124.61570739746094,2024-03-20,120.27,stop_loss,2.259034611747177,2.26,False,,13,-9.82,-3.49,124.62,72.82853614862682,3.4566969669188947,1560.69,0
CDNS,momentum_breakout,breakout,3,2024-01-16,277.5599975585937,2024-03-21,322.8,bearish_divergence,0.8207138808734717,0.82,False,,65,37.13,16.3,322.8,57.87158809634043,1.7747484450257858,1578.44,1
GS,momentum_breakout,breakout,3,2024-03-21,392.9005737304688,2024-03-22,387.69,stop_loss,0.2578299909587938,0.26,False,,1,-1.34,-1.33,392.9,68.84802759958528,1.9452777326876902,1576.05,0
NVDA,momentum_breakout,breakout,3,2023-11-22,48.625282287597656,2024-03-25,94.84,bearish_divergence,2.746201696020982,1.37,True,57.38,124,75.48,56.52,94.84,62.06503403148904,1.9968584701970948,1572.78,1
SNPS,momentum_breakout,breakout,2,2024-03-21,602.010009765625,2024-03-27,578.91,stop_loss,0.5243888264465427,0.52,False,,6,-12.11,-3.84,602.01,60.59406252401345,1.843776998526198,1549.49,0
