symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,reason,stop_pct_used,tiers_fired,held_days,scaled_pnl
RKLB,2023-09-15,2023-09-20,5.122559885501861,4.417790076255798,24.599029160525806,-17.336653089102114,-13.758156566226576,stop_loss,0.099954,[],5,0.0
RIVN,2023-09-21,2023-10-05,21.54076568698883,18.26086545753479,5.676214196687269,-18.617416246144856,-15.226479304935674,stop_loss,0.15,[],14,0.0
SMCI,2023-09-19,2023-10-13,25.205410661529623,28.50574045753479,4.621924222215567,15.253874225456059,13.093735469433865,trailing_stop,0.093626,[0.15],24,5.10803059483634
SMCI,2023-10-19,2023-10-30,26.518251660346984,23.650169655799868,4.6435942149282985,-13.318209004254953,-10.815501871248129,stop_loss,0.101502,[],11,0.0
CPRI,2023-09-11,2023-11-07,52.97647576332092,48.79558969497681,2.405407271131239,-10.056733748566216,-7.891967157314774,stop_loss,0.05,[],57,0.0
UPST,2023-11-08,2023-12-29,21.934049747498634,40.83957061004639,2.9770069829350705,56.281867623829314,86.19256854153777,trailing_stop,0.15,"[0.15, 0.3, 0.5]",51,31.79939960259892
IOT,2023-10-26,2024-01-02,27.097781787612508,31.36430916118622,4.308291883088511,18.381445252542562,15.744932212584702,trailing_stop,0.06513,"[0.15, 0.3, 0.5]",68,30.005621654947426
GTLB,2023-11-09,2024-01-02,49.39232237190517,60.00998091506958,2.3570209051992665,25.026043150506098,21.49657686313579,trailing_stop,0.087802,"[0.15, 0.3]",54,14.676522049547899
LEVI,2023-11-09,2024-01-02,13.739060088555618,15.068295403957368,9.584899104412157,12.740586384147235,9.674863541131012,trailing_stop,0.054982,[0.15],54,6.110729513374963
BROS,2024-01-02,2024-01-09,31.075529465675352,28.61568416118622,4.641594285925879,-11.41760390957836,-7.915698772586217,stop_loss,0.066205,[],7,0.0
UPST,2024-01-02,2024-01-12,38.28316696371698,31.934025762557987,4.177292859589302,-26.52222220412571,-16.58468121818766,stop_loss,0.123963,[],10,0.0
AA,2024-01-03,2024-01-16,30.585988858222958,27.042858754158026,4.656707378669829,-16.499320099186363,-11.584160709953215,stop_loss,0.092639,[],13,0.0
CROX,2024-01-11,2024-02-06,104.95245152664184,98.9505,1.3339373970169859,-8.006227596470723,-5.718733997479093,stop_loss,0.053507,[],26,0.0
U,2024-01-17,2024-02-28,32.996489542007446,29.275355915069582,4.146804763149223,-15.430814648500686,-11.2773621636342,stop_loss,0.088937,[],42,0.0
LUV,2024-01-31,2024-03-12,28.856770261362897,27.27335143661499,4.299683873506482,-6.808200385775152,-5.487165786075469,trailing_stop,0.090618,[0.15],41,5.283328968679591
AAL,2024-01-31,2024-04-10,14.237114542007445,13.403294847488404,9.612902923284526,-8.01542777893431,-5.856662121097694,stop_loss,0.057449,[],70,0.0
DOCU,2024-02-07,2024-04-15,52.34638609079675,56.64166316986084,2.408045923476013,10.343224460440254,8.205489241633176,trailing_stop,0.05,[0.15],68,5.396584827185222
ESTC,2024-03-28,2024-04-15,100.2901178627014,94.80257347488404,1.4074168323666383,-7.723262339773214,-5.471670095482266,stop_loss,0.05,[],18,0.0
JBLU,2024-02-29,2024-04-23,6.483240019083023,6.096949904680252,16.151646468641765,-6.239221362164727,-5.958288036008988,trailing_stop,0.126086,[0.15],54,5.507739334325919
PLAY,2024-05-08,2024-05-22,52.65631606864929,48.87555152511597,2.5503113401424233,-9.642126689781435,-7.1800779579875105,stop_loss,0.05,[],14,0.0
LUV,2024-04-25,2024-05-29,25.87675294017792,24.191349431037903,5.227858391380919,-8.811050878120483,-6.513195504228624,stop_loss,0.052206,[],34,0.0
GTLB,2024-04-15,2024-05-30,53.85691683197021,48.51573091506958,2.5161113552560326,-13.439018536047271,-9.91736295184656,stop_loss,0.072055,[],45,0.0
FVRR,2024-05-31,2024-06-13,25.242614542007445,23.9080400762558,5.178940548430351,-6.9116818155809625,-5.2869898382780995,stop_loss,0.05,[],13,0.0
DASH,2024-05-30,2024-07-12,110.5952709159851,104.9475,1.1826907146813146,-6.679566220982736,-5.106702003809442,stop_loss,0.05,[],43,0.0
JBLU,2024-06-04,2024-07-18,5.589614809256559,6.01698998093605,21.090004593030315,9.01334433366759,7.645878763805805,trailing_stop,0.073413,[0.15],44,6.410304942629907
OVV,2024-06-25,2024-08-02,43.9636708316803,39.13909680938721,2.9751837716368605,-14.353994336187156,-10.974001786075808,stop_loss,0.050007,[],38,0.0
DVN,2024-06-27,2024-08-02,44.12804817581176,40.1266132106781,2.9727124906445486,-11.89511570135467,-9.067781446374957,stop_loss,0.05,[],36,0.0
RIVN,2024-07-24,2024-08-02,16.27813545799255,14.712640266895296,7.9425558494488815,-12.434032987333609,-9.617165277541654,stop_loss,0.095241,[],9,0.0
LCID,2024-07-23,2024-08-07,34.767375,29.085450381278992,3.754094175933616,-21.33048011923438,-16.34269086671343,stop_loss,0.15,[],15,0.0
ARM,2024-08-02,2024-09-04,116.06862760500493,120.88952194976808,0.9758661499878252,4.704547603722091,4.1534861264744265,trailing_stop,0.106755,[0.15],33,5.14911064144427
FUN,2024-08-21,2024-09-06,45.332656373977656,41.64916316986084,2.806365436661863,-10.337228014212286,-8.125473993249717,stop_loss,0.052126,[],16,0.0
ARM,2024-09-06,2024-10-01,120.27520928491923,136.01196183013917,0.916294837638401,14.419505118377998,13.083953575122237,trailing_stop,0.100407,[0.15],25,6.06004721207351
LEVI,2024-08-14,2024-10-03,17.09238515281677,18.3800608959198,5.505082749805131,7.088761520698995,7.5336223212289655,trailing_stop,0.059863,[0.15],50,4.861279482664095
JBLU,2024-10-14,2024-10-24,6.949541296837119,6.986504771232605,17.510508385219268,0.6472492283489828,0.5318836570164492,trailing_stop,0.115071,[0.15],10,5.614390351786017
CPRI,2024-10-08,2024-10-25,42.64130893135071,21.2493702287674,2.9935760228539627,-64.03839478241508,-50.167171784108966,stop_loss,0.15,[],17,0.0
BIRK,2024-10-15,2024-10-29,50.46521862602233,47.66615362739562,2.536202229667982,-7.098994890502652,-5.546523080320849,stop_loss,0.05,[],14,0.0
BHP,2024-10-31,2024-11-12,52.2033957824707,49.461848043441776,2.2887399987898873,-6.274689968907481,-5.251665524696583,stop_loss,0.05,[],12,0.0
BILL,2024-11-01,2024-12-10,70.41885016589117,89.61517366027833,1.4163909853380363,27.189499549082726,27.260205824384926,trailing_stop,0.066919,"[0.15, 0.3, 0.5]",39,25.9346225256107
PATH,2024-12-10,2024-12-18,14.717355038166046,12.963515266895294,9.088589604118706,-15.939929912461281,-11.916813630727633,stop_loss,0.086506,[],8,0.0
ASAN,2024-11-27,2024-12-19,15.157574618339536,22.358815838813783,3.513590222528186,25.30221074232525,47.509191950546494,trailing_stop,0.15,"[0.15, 0.3, 0.5]",22,36.944378543354915
ARM,2024-10-24,2024-12-23,141.11051328277588,126.80656774520877,0.9052479296423344,-12.948617083599345,-10.136697262877204,stop_loss,0.071718,[],60,0.0
RIVN,2024-12-19,2025-01-10,13.36008294849653,13.843075381278995,8.837145539767185,4.268274423104856,3.6151903745239746,trailing_stop,0.15,[0.15],22,8.498509165301613
U,2024-12-27,2025-02-10,22.71212043266625,20.389799618721014,6.339786741924058,-14.723018706744313,-10.225028617781994,stop_loss,0.068817,[],45,0.0
CAVA,2024-12-19,2025-02-11,117.10852805328368,130.80456011962892,0.8329457557410292,11.408051780155319,11.695161995472803,trailing_stop,0.07252,[0.15],54,5.040368699276371
ATI,2024-10-30,2025-02-12,56.23094251649675,60.749608779907234,2.1349901730642595,9.647308067738408,8.035907031230757,trailing_stop,0.082208,[0.15],105,5.284689180194992
LCID,2025-01-21,2025-02-21,28.61430038166046,30.584700381278992,3.463740148924482,6.8249535881194845,6.886067362602391,trailing_stop,0.113068,[0.15],31,5.159989005474074
MDB,2025-02-13,2025-02-24,293.11648622131344,266.96645610046386,0.4608065610407779,-12.050105451101444,-8.921378138077628,stop_loss,0.0703,[],11,0.0
BILL,2025-02-11,2025-03-04,60.341280571718215,50.18489408493042,2.486026126371426,-25.249042155680158,-16.831572665609063,stop_loss,0.15,[],21,0.0
ASAN,2025-02-26,2025-03-10,19.489739542007445,16.671660305023195,6.689673800872705,-18.852030840436882,-14.459296548885472,stop_loss,0.109383,[],12,0.0
