symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,reason,stop_pct_used,tiers_fired,held_days,scaled_pnl
ROKU,2023-04-03,2023-04-21,65.7428540840149,58.02097423744202,2.655497733288224,-20.505434429298305,-11.745580495645715,stop_loss,0.106897,[],18,0.0
CLF,2023-04-17,2023-04-21,17.268630228996276,15.872060114383698,9.502201264607054,-13.270490309184055,-8.087324217919466,stop_loss,0.059528,[],4,0.0
CENX,2023-04-25,2023-05-11,8.10989125656401,7.196399809360504,21.055769380605405,-19.23426524347252,-11.263917336303876,stop_loss,0.091302,[],16,0.0
DASH,2023-03-17,2023-05-16,60.522568567479134,64.1479103050232,2.43578589281871,8.830556260956712,5.99006589335683,trailing_stop,0.069438,[0.15],60,6.525901244325105
ASAN,2023-05-16,2023-06-05,18.259124999999997,22.088950381278995,5.0522684646307,19.349305998878123,20.974857126390216,trailing_stop,0.085025,"[0.15, 0.3]",20,16.13795562582796
PATH,2023-05-17,2023-06-09,15.12755988550186,17.1614150762558,8.3147911068309,16.911081052662723,13.444700970598511,trailing_stop,0.128178,[0.15],23,7.6315771080549695
AFRM,2023-06-14,2023-07-06,16.832853692505495,13.783104961872102,12.406096067535927,-37.835475734083616,-18.117835432688604,stop_loss,0.147895,[],22,0.0
MDB,2023-04-24,2023-07-07,274.1188718576253,388.42568511962895,0.49447308332910045,56.521642399186646,41.699724096841265,trailing_stop,0.050977,"[0.15, 0.3, 0.5]",74,45.53315091460199
BILL,2023-06-14,2023-07-20,114.2971178627014,129.20536927032472,1.2487188682419494,18.616214825193822,13.043418492434567,trailing_stop,0.063898,[0.15],36,8.80560981590913
GTLB,2023-07-10,2023-07-27,50.375173473358146,46.8515625,3.6789947750356684,-12.963346360242952,-6.994737150079837,stop_loss,0.060672,[],17,0.0
TPR,2023-05-12,2023-08-10,37.77452424685317,32.10031296920777,4.8821263451216925,-27.70221636637922,-15.021264703600052,stop_loss,0.094186,[],90,0.0
RIVN,2023-08-07,2023-08-11,24.29214068698883,21.55921469497681,7.712370943922079,-21.077339012682927,-11.250247671568154,stop_loss,0.099879,[],4,0.0
AR,2023-08-21,2023-08-23,27.793890686988828,25.847070610046384,6.384136787407929,-12.42876567167258,-7.004489219833516,stop_loss,0.067858,[],2,0.0
RKLB,2023-08-24,2023-09-11,5.819255835212999,6.036979961872101,29.023040803800004,6.3190162119988145,3.7414427690500776,trailing_stop,0.075695,[0.15],18,6.603999781968746
UPST,2023-08-10,2023-09-18,32.06602423667908,28.915535305023194,5.492729585058186,-17.304783762304623,-9.825006394313645,stop_loss,0.089324,[],39,0.0
OKTA,2023-07-27,2023-09-19,70.34515255737304,81.99898091506958,1.9778547780209412,23.049580099506045,16.566640250288398,trailing_stop,0.089339,[0.15],54,8.651859408717833
RKLB,2023-09-15,2023-09-20,5.122559885501861,4.417790076255798,34.90832786671871,-24.602335571726343,-13.758156566226576,stop_loss,0.099954,[],5,0.0
RIVN,2023-09-21,2023-10-05,21.54076568698883,18.26086545753479,7.892477104594771,-25.88653746632113,-15.226479304935674,stop_loss,0.15,[],14,0.0
SMCI,2023-09-19,2023-10-13,25.212982926193984,28.50574045753479,6.514500491538021,21.4506705564352,13.059769805816723,trailing_stop,0.093626,[0.15],24,7.169456152522258
SMCI,2023-10-19,2023-10-30,26.518251660346984,23.650169655799868,6.489492678634163,-18.612397170230906,-10.815501871248129,stop_loss,0.101502,[],11,0.0
CPRI,2023-09-11,2023-11-07,52.97647576332092,48.79558969497681,3.439639903833747,-14.380742554058969,-7.891967157314774,stop_loss,0.05,[],57,0.0
UPST,2023-11-08,2023-12-29,22.002917421212924,40.83957061004639,4.27117337776204,80.45461162628193,85.60979813828288,trailing_stop,0.15,"[0.15, 0.3, 0.5]",51,45.151753816965595
IOT,2023-10-26,2024-01-02,27.65571205057738,31.36430916118622,6.674282204359397,24.752223698475262,13.409877510390885,trailing_stop,0.06513,"[0.15, 0.3, 0.5]",68,42.648832159771736
GTLB,2023-11-09,2024-01-02,50.666165816780904,60.00998091506958,3.6383138294290878,33.99573169173203,18.44192262757321,trailing_stop,0.087802,"[0.15, 0.3]",54,20.32717419409291
LEVI,2023-11-09,2024-01-02,13.96633713420119,15.068295403957368,14.967775869799521,16.49386439958255,7.890102173301182,trailing_stop,0.054982,[0.15],54,8.341314617557082
BROS,2024-01-02,2024-01-09,31.075529465675352,28.61568416118622,7.115244818088403,-17.502401556065365,-7.915698772586217,stop_loss,0.066205,[],7,0.0
