symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
CELH,momentum_breakout,breakout,3,2023-01-18,37.88,2023-01-18,35.47,stop_loss,6.2833,False,0,-16.11,-6.77,60.20983559204685,1.5437464762878759,0
MT,momentum_breakout,breakout,3,2023-01-06,26.27,2023-01-26,30.33,bearish_divergence,9.2073,False,20,36.4,15.05,61.255781932131306,1.8206092838247612,1
SCCO,momentum_breakout,breakout,3,2023-01-06,54.53,2023-02-01,64.93,bearish_divergence,3.3197,True,26,32.45,17.93,65.65448812207435,1.728736165580699,1
JBLU,momentum_breakout,breakout,3,2023-01-27,8.29,2023-02-02,9.21,bearish_divergence,31.7147,False,6,28.2,10.73,61.78124573664567,1.5438542582154884,1
PATH,momentum_breakout,breakout,3,2023-02-02,17.75,2023-02-10,15.48,stop_loss,3.4865,False,8,-8.9,-14.38,66.69761574087555,2.161671633010841,0
HUBS,momentum_breakout,breakout,3,2023-02-03,381.52,2023-02-17,404.25,bearish_divergence,0.7216,False,14,15.4,5.59,70.44921246355308,1.5334338546562611,1
MNDY,momentum_breakout,breakout,3,2023-02-13,144.67,2023-02-21,152.85,trailing_stop,1.4003,False,8,10.45,5.16,56.82135391348269,1.5220654721668672,1
HUBS,momentum_breakout,breakout,2,2023-02-21,400.12,2023-03-03,408.01,bearish_divergence,0.6992,False,10,4.52,1.61,68.03674798961599,2.6689197999301113,1
ANF,momentum_breakout,breakout,3,2023-01-06,24.68,2023-03-06,28.1,trailing_stop,9.7674,True,59,37.27,15.46,66.00084797995854,1.5265542281403612,1
LEVI,momentum_breakout,breakout,3,2023-01-19,14.55,2023-03-09,15.45,trailing_stop,15.5014,True,49,26.14,11.59,50.0511207338013,1.6200436731410184,1
IOT,momentum_breakout,breakout,3,2023-02-02,14.99,2023-03-20,18.97,trailing_stop,18.5247,True,46,60.7,21.86,63.04496301701906,1.6507257673752291,1
ASAN,momentum_breakout,breakout,3,2023-03-07,17.2,2023-03-28,20.0,trailing_stop,16.2923,True,21,46.79,16.7,58.82111791482258,1.6202503119937037,1
ONON,momentum_breakout,breakout,3,2023-03-22,27.32,2023-04-04,32.48,bearish_divergence,5.8712,True,13,28.47,17.75,69.15427478388301,8.174699515637146,1
WDAY,momentum_breakout,breakout,3,2023-03-30,200.2,2023-04-12,192.26,stop_loss,0.7679,False,13,-7.1,-4.62,61.7146198513209,1.530141798507654,0
DOCU,momentum_breakout,breakout,3,2023-03-10,53.76,2023-04-20,52.88,trailing_stop,5.2408,False,41,-5.63,-2.0,58.72697984928011,2.136201234442148,0
PKX,momentum_breakout,breakout,3,2023-04-05,65.78,2023-04-25,66.85,trailing_stop,4.6738,False,20,3.99,1.3,61.38075792428713,2.226900066474629,1
IOT,momentum_breakout,breakout,3,2023-04-18,21.73,2023-04-25,20.49,stop_loss,8.3357,False,7,-11.34,-6.26,66.78434684009096,1.6120074905543984,0
VEEV,momentum_breakout,breakout,3,2023-04-21,185.17,2023-04-25,179.4,stop_loss,1.496,False,4,-9.63,-3.48,58.313513544403826,1.7507207200730426,0
MDB,momentum_breakout,breakout,3,2023-04-27,242.81,2023-05-01,228.43,stop_loss,1.2556,False,4,-19.05,-6.25,56.385726473755625,2.372621250681379,0
DUOL,momentum_breakout,breakout,3,2023-03-06,119.9,2023-05-02,128.64,trailing_stop,2.3986,True,57,35.2,12.24,74.95381520741047,2.7691536198110636,1
SKYW,momentum_breakout,breakout,3,2023-05-01,28.25,2023-05-10,26.49,stop_loss,5.3803,False,9,-10.45,-6.88,77.82731092191194,3.243916349809886,0
DKNG,momentum_breakout,breakout,3,2023-02-22,20.1,2023-05-22,25.19,bearish_divergence,10.6153,True,89,45.15,21.16,73.84429345288804,1.7934337524621105,1
WING,momentum_breakout,breakout,3,2023-04-27,197.7,2023-06-08,192.66,trailing_stop,1.5387,False,42,-8.76,-2.88,69.92848246108636,1.702465621402629,0
