date,equity,cash,positions,queue_size
2024-04-30,956.04,242.23,5,11
2024-05-01,932.62,242.23,5,13
2024-05-02,940.81,420.05,4,17
2024-05-03,948.45,237.19,5,14
2024-05-06,961.68,237.19,5,16
2024-05-07,956.12,237.19,5,10
2024-05-08,952.44,237.19,5,8
2024-05-09,953.18,410.35,4,9
2024-05-10,963.05,238.94,5,10
2024-05-13,955.17,238.94,5,11
2024-05-14,969.63,238.94,5,8
2024-05-15,977.43,238.94,5,8
2024-05-16,975.66,238.94,5,7
2024-05-17,969.33,238.94,5,8
2024-05-20,969.93,238.94,5,10
2024-05-21,958.69,238.94,5,7
2024-05-22,951.83,238.94,5,6
2024-05-23,940.04,238.94,5,6
2024-05-24,948.87,238.94,5,4
2024-05-28,949.5,292.69,5,4
2024-05-29,962.79,292.69,5,3
2024-05-30,959.66,292.69,5,5
2024-05-31,960.98,292.69,5,7
2024-06-03,964.66,292.69,5,12
2024-06-04,966.01,292.69,5,10
2024-06-05,995.6,292.69,5,8
2024-06-06,984.42,292.69,5,6
2024-06-07,979.72,292.69,5,2
2024-06-10,992.55,292.69,5,3
2024-06-11,987.89,292.69,5,2
2024-06-12,1003.85,292.69,5,2
2024-06-13,990.73,292.69,5,3
2024-06-14,974.04,292.69,5,4
2024-06-17,994.75,292.69,5,5
2024-06-18,1001.65,292.69,5,5
2024-06-20,982.57,478.84,4,6
2024-06-21,994.26,281.38,5,5
2024-06-24,985.43,281.38,5,8
2024-06-25,995.63,281.38,5,5
2024-06-26,996.4,380.66,5,5
2024-06-27,1004.87,380.66,5,5
2024-06-28,1000.45,380.66,5,4
2024-07-01,992.8,380.66,5,7
2024-07-02,994.3,380.66,5,10
2024-07-03,994.17,380.66,5,10
2024-07-05,1005.32,380.66,5,9
2024-07-08,1008.35,380.66,5,8
2024-07-09,1002.36,380.66,5,5
2024-07-10,992.1,380.66,5,6
2024-07-11,999.02,570.89,3,8
2024-07-12,1057.06,264.22,5,8
2024-07-15,1040.71,384.69,5,10
2024-07-16,1046.61,609.0,4,9
2024-07-17,1026.58,402.91,5,12
2024-07-18,1003.76,500.25,4,14
2024-07-19,1004.27,300.29,5,14
2024-07-22,1017.37,300.29,5,14
2024-07-23,1010.82,300.29,5,6
2024-07-24,970.45,300.29,5,3
2024-07-25,979.91,575.78,3,1
2024-07-26,968.51,382.1,4,1
2024-07-29,969.48,483.22,3,1
2024-07-30,968.15,483.22,3,0
2024-07-31,972.05,483.22,3,0
2024-08-01,947.51,483.22,3,0
2024-08-02,927.74,578.21,2,0
2024-08-05,902.45,902.45,0,0
2024-08-06,902.45,902.45,0,0
2024-08-07,902.45,902.45,0,0
2024-08-08,904.74,721.96,1,0
2024-08-09,915.64,721.96,1,0
2024-08-12,903.22,541.04,2,0
2024-08-13,931.79,541.04,2,0
2024-08-14,920.74,356.03,3,0
2024-08-15,949.09,356.03,3,0
2024-08-16,979.06,244.79,4,0
2024-08-19,1013.14,361.92,4,0
2024-08-20,991.58,468.08,4,0
2024-08-21,1015.56,468.08,4,0
2024-08-22,1000.77,266.66,5,1
2024-08-23,1053.52,266.66,5,3
2024-08-26,1054.35,388.77,5,7
2024-08-27,1039.06,388.77,5,10
2024-08-28,1027.99,492.66,4,11
2024-08-29,1012.76,288.15,5,10
2024-08-30,1009.46,488.79,3,7
2024-09-03,984.0,282.81,4,10
2024-09-04,979.8,246.39,4,4
2024-09-05,985.47,246.39,4,4
2024-09-06,955.28,250.52,4,2
2024-09-09,966.81,243.94,4,2
2024-09-10,967.31,241.48,4,3
2024-09-11,972.06,241.48,4,2
2024-09-12,981.77,241.48,4,1
2024-09-13,988.76,241.48,4,1
