symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
CELH,momentum_breakout,breakout,2,2025-03-31,2025-04-01,36.086049,2025-05-06,33.19677,trailing_stop,4.66299156,4.66299156,False,,0.0,0.0,0.0,153.796256,2.0,1.0,169.268943,153.796256,35,33.29271,42.581538,0.0387038715,68.59,1.593,False,-15.472687,-9.140889,0
CAVA,momentum_breakout,breakout,2,2025-05-15,2025-05-16,97.117017,2025-05-20,90.559352,stop_loss,0.54286032,0.54286032,False,,0.0,0.0,0.0,48.161078,2.0,1.0,53.720975,48.161078,4,91.396226,114.59808,0.029453082,57.58,1.936,False,-5.559896,-10.349582,0
LCID,momentum_breakout,breakout,2,2025-05-20,2025-05-21,29.329299,2025-05-23,26.0739,stop_loss,1.78609827,1.78609827,False,,0.0,0.0,0.0,45.570548,2.0,1.0,53.385011,45.570548,2,26.819116,34.608573,0.0427930928,61.52,1.724,False,-7.814462,-14.637933,0
OKTA,momentum_breakout,breakout,2,2025-04-29,2025-04-30,109.599488,2025-05-29,106.403492,trailing_stop,1.4849988,1.4849988,False,,0.0,0.0,0.0,157.009058,2.0,1.0,163.755108,157.009058,29,100.221931,129.327396,0.0427810236,60.36,3.095,False,-6.74605,-4.119597,0
RIVN,momentum_breakout,breakout,2,2025-05-07,2025-05-08,12.93292,2025-05-30,14.950035,trailing_stop,8.59433987,4.29716993,True,2025-05-16,15.36462,4.29716993,65.024384,63.242842,3.0,1.0,112.149911,128.267225,22,12.021307,15.260846,0.0352438931,56.89,1.939,False,16.117315,14.371224,1
DPZ,momentum_breakout,breakout,2,2025-04-28,2025-04-29,475.437187,2025-06-03,450.122456,stop_loss,0.34360501,0.34360501,False,,0.0,0.0,0.0,153.664332,2.0,1.0,164.362601,153.664332,35,453.889642,561.015881,0.0226607696,59.33,1.971,False,-10.698268,-6.508943,0
PATH,momentum_breakout,breakout,2,2025-05-30,2025-06-02,13.30329,2025-06-03,12.57741,stop_loss,5.06043616,5.06043616,False,,0.0,0.0,0.0,62.647181,2.0,1.0,68.32045,62.647181,1,12.797786,15.697882,0.0189992185,69.57,4.16,False,-5.673268,-8.30391,0
ASAN,momentum_breakout,breakout,2,2025-06-03,2025-06-04,16.716701,2025-06-05,15.04494,stop_loss,9.52998795,9.52998795,False,,0.0,0.0,0.0,142.378101,2.0,1.0,160.309957,142.378101,1,15.927761,19.725707,0.0235973386,61.25,2.724,False,-17.931856,-11.185741,0
DUOL,momentum_breakout,breakout,2,2025-05-05,2025-05-06,481.130644,2025-06-11,486.453062,trailing_stop,0.33712932,0.33712932,False,,0.0,0.0,0.0,162.997588,2.0,1.0,163.203245,162.997588,36,420.358856,567.73416,0.0631551832,77.37,1.809,False,-0.205657,-0.126013,0
BROS,momentum_breakout,breakout,2,2025-06-05,2025-06-06,74.224152,2025-06-16,68.851078,stop_loss,1.91398788,1.91398788,False,,0.0,0.0,0.0,130.780129,2.0,1.0,143.064127,130.780129,10,68.364813,87.584499,0.039470568,63.78,1.893,False,-12.283997,-8.586357,0
UPST,momentum_breakout,breakout,2,2025-06-11,2025-06-12,56.996939,2025-06-16,52.947,stop_loss,2.65691012,2.65691012,False,,0.0,0.0,0.0,139.67542,2.0,1.0,152.435743,139.67542,4,52.668826,67.256388,0.0379679371,64.38,1.536,False,-12.760323,-8.370952,0
URBN,momentum_breakout,breakout,2,2025-05-23,2025-05-27,73.403332,2025-06-24,67.941992,trailing_stop,0.61370133,0.61370133,False,,0.0,0.0,0.0,40.696091,2.0,1.0,46.047722,40.696091,28,64.922438,86.615932,0.0577691368,74.85,1.682,False,-5.351631,-11.621924,0
ROKU,momentum_breakout,breakout,2,2025-06-16,2025-06-17,84.374291,2025-08-04,81.323594,trailing_stop,1.75168333,1.75168333,False,,0.0,0.0,0.0,141.453183,2.0,1.0,148.797039,141.453183,48,78.911283,99.561663,0.0323736537,62.92,2.568,False,-7.343855,-4.935485,0
CELH,momentum_breakout,breakout,2,2025-06-24,2025-06-25,45.555508,2025-08-06,42.607352,stop_loss,0.82292355,0.82292355,False,,0.0,0.0,0.0,34.062593,2.0,1.0,38.488701,34.062593,42,42.928544,53.7555,0.028832562,67.25,1.657,False,-4.426108,-11.499759,0
UPST,momentum_breakout,breakout,2,2025-06-18,2025-06-20,59.959902,2025-08-07,68.631297,trailing_stop,2.3877688,1.1938844,True,2025-07-03,72.627297,1.1938844,85.708597,80.937835,3.0,1.0,144.170382,166.646432,48,54.659313,70.752684,0.0442011089,59.33,2.148,False,22.47605,15.589922,1
DASH,momentum_breakout,breakout,2,2025-08-06,2025-08-07,272.912655,2025-08-11,257.931812,stop_loss,0.55604774,0.55604774,False,,0.0,0.0,0.0,142.422403,2.0,1.0,152.752466,142.422403,4,263.523385,322.036933,0.0172019686,70.11,1.872,False,-10.330064,-6.762617,0
GLBE,momentum_breakout,breakout,2,2025-08-07,2025-08-08,35.21518,2025-08-12,33.37659,stop_loss,0.94338258,0.94338258,False,,0.0,0.0,0.0,30.486894,2.0,1.0,34.221388,30.486894,4,33.366561,41.553913,0.0262474817,57.31,1.682,False,-3.734494,-10.912749,0
CELH,momentum_breakout,breakout,2,2025-08-11,2025-08-12,54.30425,2025-09-09,55.71423,trailing_stop,2.72847684,2.72847684,False,,0.0,0.0,0.0,151.014987,2.0,1.0,149.167888,151.014987,28,49.479794,64.079015,0.0444206142,68.7,1.825,False,1.847099,1.238269,1
AFRM,momentum_breakout,breakout,2,2025-08-04,2025-08-05,75.125053,2025-09-24,84.035883,trailing_stop,2.05062173,1.02531086,True,2025-09-05,90.948961,1.02531086,92.250958,85.162904,3.0,1.0,155.053066,177.413861,50,69.408052,88.647563,0.0380498966,62.19,1.922,False,22.360795,14.421382,1
DOCU,momentum_breakout,breakout,2,2025-09-09,2025-09-10,79.889808,2025-10-01,71.208719,trailing_stop,1.91735697,1.91735697,False,,0.0,0.0,0.0,135.532533,2.0,1.0,154.177279,135.532533,21,75.87817,94.269973,0.0251073196,60.53,1.602,False,-18.644746,-12.093057,0
PATH,momentum_breakout,breakout,2,2025-10-01,2025-10-02,13.09308,2025-10-15,17.00298,trailing_stop,11.72089926,5.86044963,True,2025-10-09,16.423561,5.86044963,95.249449,98.645111,3.0,1.0,154.462671,193.89456,13,12.12721,15.449834,0.0368847528,60.71,1.61,False,39.431889,25.528426,1
UAL,momentum_breakout,breakout,2,2025-10-15,2025-10-16,103.042942,2025-10-17,98.281617,stop_loss,1.57501224,1.57501224,False,,0.0,0.0,0.0,153.79475,2.0,1.0,163.293896,153.79475,1,98.30882,121.590672,0.0229715979,57.06,1.706,False,-9.499145,-5.817208,0
CLF,momentum_breakout,breakout,2,2025-10-20,2025-10-21,15.49548,2025-10-22,13.0869,stop_loss,10.30912744,10.30912744,False,,0.0,0.0,0.0,133.914524,2.0,1.0,160.744873,133.914524,1,13.700704,18.284666,0.0579128641,75.29,2.001,False,-26.83035,-16.691263,0
DAL,momentum_breakout,breakout,2,2025-08-12,2025-08-13,57.647553,2025-11-05,55.805087,trailing_stop,0.33748166,0.33748166,False,,0.0,0.0,0.0,17.833193,2.0,1.0,20.454992,17.833193,84,54.636143,68.024112,0.026119144,61.64,1.978,False,-2.621798,-12.817402,0
RIVN,momentum_breakout,breakout,2,2025-11-05,2025-11-06,15.27526,2025-11-17,14.99499,trailing_stop,8.89389357,8.89389357,False,,0.0,0.0,0.0,132.363847,2.0,1.0,136.856539,132.363847,11,13.473451,18.024807,0.0589780222,58.0,4.648,False,-4.492692,-3.282775,0
VEEV,momentum_breakout,breakout,2,2025-05-29,2025-05-30,277.146865,2025-11-19,272.876844,trailing_stop,0.58008927,0.58008927,False,,0.0,0.0,0.0,157.292929,2.0,1.0,161.769922,157.292929,173,252.48719,327.033301,0.0444884619,74.22,4.152,False,-4.476993,-2.767507,0
SCCO,momentum_breakout,breakout,2,2025-09-24,2025-09-25,111.516622,2025-11-19,120.287084,trailing_stop,1.37533079,0.6876654,True,2025-10-30,131.665076,0.6876654,89.541517,81.717265,3.0,1.0,154.372244,171.258782,55,105.817431,131.589614,0.0255531032,74.85,3.57,False,16.886537,10.938843,1
AR,momentum_breakout,breakout,2,2025-11-20,2025-11-21,33.363332,2025-12-17,33.656309,trailing_stop,4.55916354,4.55916354,False,,0.0,0.0,0.0,152.444615,2.0,1.0,153.108886,152.444615,26,31.397059,39.368732,0.0294675708,56.76,1.626,False,-0.664271,-0.433855,0
CNX,momentum_breakout,breakout,2,2025-11-24,2025-11-25,37.427389,2025-12-29,36.64332,trailing_stop,1.7244802,1.7244802,False,,0.0,0.0,0.0,62.19068,2.0,1.0,65.542792,62.19068,34,36.062003,44.164319,0.0182404756,72.07,1.535,False,-3.352112,-5.114386,0
AFRM,momentum_breakout,breakout,2,2026-01-05,2026-01-06,81.711627,2026-01-15,73.596328,stop_loss,1.63857371,1.63857371,False,,0.0,0.0,0.0,119.593009,2.0,1.0,134.890525,119.593009,9,75.145448,96.41972,0.0401789763,58.9,1.637,False,-15.297516,-11.34069,0
GLBE,momentum_breakout,breakout,2,2025-11-18,2025-11-19,36.831793,2026-01-21,35.89407,trailing_stop,4.1337251,4.1337251,False,,0.0,0.0,0.0,147.376219,2.0,1.0,153.252508,147.376219,63,35.36476,43.461516,0.0199153078,53.44,2.037,False,-5.876289,-3.834383,0
CLF,momentum_breakout,breakout,2,2026-01-15,2026-01-16,14.10409,2026-02-10,12.07791,trailing_stop,8.40043621,8.40043621,False,,0.0,0.0,0.0,100.459714,2.0,1.0,119.48051,100.459714,25,13.229977,16.642826,0.0309879316,60.47,1.53,False,-19.020796,-15.91958,0
